num_repeat,rf,rfsut,rs,mr,ete_latency50,ete_latency_avg,ete_min,ete_1P,ete_5P,ete_10P,ete_90P,ete_95P,ete_99P,ete_max,ete_std,avg_first_step,avg_second_step,avg_third_step,med_first_step,med_second_step,med_third_step,throughput(MiB/s),throughput(ops)
1,1,10,16384,3000,4112,6409,78,116.0,122.0,124.0,16741.8,18686.699999999997,22052.460000000003,49005,6779,62,23,6324,58,22,4022,45,2923
1,1,10,262144,3000,8732,13222,771,838.33,871.0,884.0,32392.30000000001,39431.95,51278.47,62087,13623,459,185,12577,462,182,8094,76,304
1,1,10,1024,5000,3137,21970,529,570.0,628.0,652.0,70410.50000000134,161014.35,241181.34,262988,51110,373,140,21456,377,135,2627,4,4998
1,1,10,16384,5000,1274177,1283047,573746,587955.7,642341.15,712136.2,1864391.4,1926959.95,1967023.32,1988552,418981,66274,24,1216748,799,20,1273699,60,3886
1,1,10,1024,6000,52617,112786,590,643.0,665.0,684.0,365346.0,428326.75,485319.3,504131,140561,5066,117,107602,382,129,52087,5,5969
1,1,10,16384,6000,246893,281572,409,641.98,1125.95,1810.0,652099.8,700814.6,738861.08,749524,246000,165667,20,115884,4293,17,123042,93,6002
1,1,10,1024,8000,2387096,2342247,2052664,2059127.66,2086370.65,2119807.0,2482513.4,2534598.75,2577001.01,2587304,142376,70514,123,2271609,371,122,2261584,3,3584
1,1,10,16384,8000,679522,676579,415022,418554.62,437283.7,460552.1,896026.7,923048.2999999999,943715.07,951617,158615,417314,13,259251,421559,12,258202,93,6005
1,1,10,1024,10000,681525,723606,589322,593648.33,610394.75,620433.3,883271.8,908687.4,934254.43,943102,100512,164080,93,559432,22438,89,608841,6,6937
1,1,10,16384,10000,940322,945875,824667,827697.72,833060.75,840064.1,1063561.2,1079552.55,1090631.51,1096541,81339,699126,14,246734,702572,13,237868,84,5402
1,1,10,1024,15000,1160586,1162448,1137332,1139266.82,1142660.2,1145315.1,1186406.8,1191211.7499999995,1202924.77,1207680,14688,365979,71,796397,371355,31,792420,6,6419
1,1,10,16384,15000,1252049,1256480,1195089,1196544.96,1201033.6,1204965.8,1311248.3,1317404.9,1324347.01,1327233,46132,976236,13,280230,990202,12,262293,79,5070
1,1,10,1024,18000,1290811,1268071,1179157,1180956.17,1183609.9,1186020.9,1327051.8,1348596.1,1354106.61,1356956,55112,580834,55,687181,589147,38,705873,6,6368
1,1,10,16384,18000,1424704,1416877,1346784,1357564.93,1361543.9,1369641.5,1463066.9,1473380.2,1477119.12,1488242,34011,1172614,14,244248,1184706,13,243766,76,4888
1,1,10000,1024,500,2726,7954,211,374.0,410.0,460.0,22536.4,25399.0,30787.02,36750,9121,341,73,7539,351,69,2315,0,498
1,1,10000,16384,500,542,6927,225,392.0,458.0,483.0,21363.799999999996,24460.499999999993,28380.540000000005,33069,8607,357,77,6492,368,76,81,7,498
1,1,10000,262144,500,937,4868,738,836.0,864.65,880.0,16036.600000000002,18866.299999999996,21288.690000000002,24628,6232,467,175,4225,469,166,286,76,305
